KATAKANA LETTER SMALL A,ァ,012449,0x30A1
KATAKANA LETTER A,ア,012450,0x30A2
KATAKANA LETTER SMALL I,ィ,012451,0x30A3
KATAKANA LETTER I,イ,012452,0x30A4
KATAKANA LETTER SMALL U,ゥ,012453,0x30A5
KATAKANA LETTER U,ウ,012454,0x30A6
KATAKANA LETTER SMALL E,ェ,012455,0x30A7
KATAKANA LETTER E,エ,012456,0x30A8
KATAKANA LETTER SMALL O,ォ,012457,0x30A9
KATAKANA LETTER O,オ,012458,0x30AA
KATAKANA LETTER KA,カ,012459,0x30AB
KATAKANA LETTER GA,ガ,012460,0x30AC
KATAKANA LETTER KI,キ,012461,0x30AD
KATAKANA LETTER GI,ギ,012462,0x30AE
KATAKANA LETTER KU,ク,012463,0x30AF
KATAKANA LETTER GU,グ,012464,0x30B0
KATAKANA LETTER KE,ケ,012465,0x30B1
KATAKANA LETTER GE,ゲ,012466,0x30B2
KATAKANA LETTER KO,コ,012467,0x30B3
KATAKANA LETTER GO,ゴ,012468,0x30B4
KATAKANA LETTER SA,サ,012469,0x30B5
KATAKANA LETTER ZA,ザ,012470,0x30B6
KATAKANA LETTER SI,シ,012471,0x30B7
KATAKANA LETTER ZI,ジ,012472,0x30B8
KATAKANA LETTER SU,ス,012473,0x30B9
KATAKANA LETTER ZU,ズ,012474,0x30BA
KATAKANA LETTER SE,セ,012475,0x30BB
KATAKANA LETTER ZE,ゼ,012476,0x30BC
KATAKANA LETTER SO,ソ,012477,0x30BD
KATAKANA LETTER ZO,ゾ,012478,0x30BE
KATAKANA LETTER TA,タ,012479,0x30BF
KATAKANA LETTER DA,ダ,012480,0x30C0
KATAKANA LETTER TI,チ,012481,0x30C1
KATAKANA LETTER DI,ヂ,012482,0x30C2
KATAKANA LETTER SMALL TU,ッ,012483,0x30C3
KATAKANA LETTER TU,ツ,012484,0x30C4
KATAKANA LETTER DU,ヅ,012485,0x30C5
KATAKANA LETTER TE,テ,012486,0x30C6
KATAKANA LETTER DE,デ,012487,0x30C7
KATAKANA LETTER TO,ト,012488,0x30C8
KATAKANA LETTER DO,ド,012489,0x30C9
KATAKANA LETTER NA,ナ,012490,0x30CA
KATAKANA LETTER NI,ニ,012491,0x30CB
KATAKANA LETTER NU,ヌ,012492,0x30CC
KATAKANA LETTER NE,ネ,012493,0x30CD
KATAKANA LETTER NO,ノ,012494,0x30CE
KATAKANA LETTER HA,ハ,012495,0x30CF
KATAKANA LETTER BA,バ,012496,0x30D0
KATAKANA LETTER PA,パ,012497,0x30D1
KATAKANA LETTER HI,ヒ,012498,0x30D2
KATAKANA LETTER BI,ビ,012499,0x30D3
KATAKANA LETTER PI,ピ,012500,0x30D4
KATAKANA LETTER HU,フ,012501,0x30D5
KATAKANA LETTER BU,ブ,012502,0x30D6
KATAKANA LETTER PU,プ,012503,0x30D7
KATAKANA LETTER HE,ヘ,012504,0x30D8
KATAKANA LETTER BE,ベ,012505,0x30D9
KATAKANA LETTER PE,ペ,012506,0x30DA
KATAKANA LETTER HO,ホ,012507,0x30DB
KATAKANA LETTER BO,ボ,012508,0x30DC
KATAKANA LETTER PO,ポ,012509,0x30DD
KATAKANA LETTER MA,マ,012510,0x30DE
KATAKANA LETTER MI,ミ,012511,0x30DF
KATAKANA LETTER MU,ム,012512,0x30E0
KATAKANA LETTER ME,メ,012513,0x30E1
KATAKANA LETTER MO,モ,012514,0x30E2
KATAKANA LETTER SMALL YA,ャ,012515,0x30E3
KATAKANA LETTER YA,ヤ,012516,0x30E4
KATAKANA LETTER SMALL YU,ュ,012517,0x30E5
KATAKANA LETTER YU,ユ,012518,0x30E6
KATAKANA LETTER SMALL YO,ョ,012519,0x30E7
KATAKANA LETTER YO,ヨ,012520,0x30E8
KATAKANA LETTER RA,ラ,012521,0x30E9
KATAKANA LETTER RI,リ,012522,0x30EA
KATAKANA LETTER RU,ル,012523,0x30EB
KATAKANA LETTER RE,レ,012524,0x30EC
KATAKANA LETTER RO,ロ,012525,0x30ED
KATAKANA LETTER SMALL WA,ヮ,012526,0x30EE
KATAKANA LETTER WA,ワ,012527,0x30EF
KATAKANA LETTER WI,ヰ,012528,0x30F0
KATAKANA LETTER WE,ヱ,012529,0x30F1
KATAKANA LETTER WO,ヲ,012530,0x30F2
KATAKANA LETTER N,ン,012531,0x30F3
KATAKANA LETTER VU,ヴ,012532,0x30F4
KATAKANA LETTER SMALL KA,ヵ,012533,0x30F5
KATAKANA LETTER SMALL KE,ヶ,012534,0x30F6
KATAKANA LETTER VA,ヷ,012535,0x30F7
KATAKANA LETTER VI,ヸ,012536,0x30F8
KATAKANA LETTER VE,ヹ,012537,0x30F9
KATAKANA LETTER VO,ヺ,012538,0x30FA
KATAKANA MIDDLE DOT,・,012539,0x30FB
